sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;2;16.65;33.3
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;2;17.45;34.9
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;3;32.55;97.65
018309;Bud Light Chelada Extra Lime made with Clamato 15 Pack (25 oz Cans);00018200255274;00018200958519;1;42.9;42.9
013922;Bud Light Platinum 4x 6 Pack (12 oz Bottles);00018200009075;00018200961182;1;31.1;31.1
015800;Budweiser 30 Pack (12 oz Cans);00018200000164;00018200110306;2;28.1;56.2
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;42.9;42.9
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;2;21.05;42.1
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;4;28.5;114
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;2;31.6;63.2
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;3;31.6;94.8
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;-1;31.6;-26.5
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;2;34.75;69.5
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;33.1;33.1
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;1;33.1;33.1
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.95;65.85
