sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;32.75;32.75
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;4;18.25;73
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;27.5;55
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;3;27.5;82.5
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;33.9;67.8
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;33.45;66.9
033700;Budweiser 2x 12 Pack (12 oz Bottles);00018200001680;00018200113604;2;27.5;55
015800;Budweiser 30 Pack (12 oz Cans);00018200000164;00018200110306;4;29;116
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;41.85;41.85
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;22.3;22.3
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;2;22.3;44.6
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.65;43.3
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;6;28.35;170.1
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;4;30.8;123.2
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;3;30.8;92.4
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;32.3;32.3
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.15;63.45
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;3;22.05;66.15
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
047807;Shock Top Belgian White 4x 6 Pack (12 oz Bottles);00018200008672;00018200963704;1;34.15;34.15
