sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;6;16.65;99.9
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;10;17.45;174.5
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;26.7;53.4
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;5;26.7;133.5
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;1;32.7;32.7
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;3;32.55;97.65
018304;Bud Light Chelada with Clamato 15 Pack (25 oz Cans);00018200255083;00018200958724;1;41.85;41.85
017064;Bud Light Chelada with Clamato 2x 12 Pack (12 oz Cans);00018200002304;00018200290619;1;30.8;30.8
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
033700;Budweiser 2x 12 Pack (12 oz Bottles);00018200001680;00018200113604;2;26.7;53.4
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;41.85;41.85
018040;Busch Beer 15 Pack (25 oz Cans);00018200250033;00018200612510;1;30.51;30.51
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;2;23.3;46.6
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;2;21.05;42.1
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;5;21.65;108.25
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;6;28.35;170.1
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;6;30.8;184.8
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.15;42.3
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;2;22.05;44.1
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
