sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;33.8;33.8
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;4;16.65;66.6
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;0;28.1;0
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;0;32.7;0
040400;Bud Light 4x 6 Pack (12 oz Bottles);00018200001697;00018200530364;1;30.1;30.1
020444;Bud Light OU 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020446;Bud Light OU 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;3;32.7;98.1
011300;Budweiser 18 Pack (12 oz Cans);00018200000164;00018200112188;2;16.65;33.3
040100;Budweiser 4x 6 Pack (12 oz Bottles);00018200001680;00018200110368;1;30.1;30.1
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;42.9;42.9
020352;Jumex Hard Nectar Variety Pack 2x 12 Pack (12 oz Cans);00613008772505;00613008772505;2;30.49;60.98
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.65;43.3
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;7;21.65;151.55
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;2;28.5;57
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;4;31.6;126.4
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;4;31.6;126.4
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;2;35.25;70.5
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;3;33.1;99.3
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;3;21.95;65.85
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;-2;17.1;-34.2
047420;Rolling Rock 4x 6 Pack (12 oz Bottles);00071439000336;00071439000466;1;25;25
