sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;4;16.65;66.6
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;2;17.45;34.9
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;26.7;53.4
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;3;26.7;80.1
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;4;32.7;130.8
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
034900;Busch Light 2x 12 Pack (12 oz Bottles);00018200001895;00018200863608;1;21.5;21.5
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;41.85;41.85
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;4;21.65;86.6
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;2;28.5;57
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;4;31.6;126.4
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.95;43.9
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
