sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;5;17.05;85.25
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;7;18.25;127.75
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;27.5;55
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;3;27.5;82.5
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;3;33.9;101.7
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;3;33.45;100.35
018309;Bud Light Chelada Extra Lime made with Clamato 15 Pack (25 oz Cans);00018200255274;00018200958519;1;41.85;41.85
018304;Bud Light Chelada with Clamato 15 Pack (25 oz Cans);00018200255083;00018200958724;1;41.85;41.85
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
015800;Budweiser 30 Pack (12 oz Cans);00018200000164;00018200110306;1;29;29
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;22.3;22.3
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;2;23.3;46.6
034900;Busch Light 2x 12 Pack (12 oz Bottles);00018200001895;00018200863608;1;22.3;22.3
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;1;21.95;21.95
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;40.8;40.8
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;1;21.65;21.65
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;8;28.35;226.8
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;5;30.8;154
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;5;30.8;154
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;2;35.25;70.5
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;32.3;32.3
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;4;21.15;84.6
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;4;22.05;88.2
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
047807;Shock Top Belgian White 4x 6 Pack (12 oz Bottles);00018200008672;00018200963704;1;34.15;34.15
