sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
017056;Beatbox Blue Razzberry Malt 12x 500 ml Carton;00851133006762;00851133006779;1;33.84;33.84
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;2;16.65;33.3
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;3;17.45;52.35
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;26.7;53.4
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;2;26.7;53.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;1;32.7;32.7
040400;Bud Light 4x 6 Pack (12 oz Bottles);00018200001697;00018200530364;1;30.1;30.1
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;1;32.55;32.55
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;2;42.25;84.5
026827;Budweiser 6x 4 Pack (16 oz Cans);00018200005374;00018200110443;1;32.55;32.55
015977;Budweiser Zero (Non-Alc) 2x 12 Pack (12 oz Cans);00018200258619;00018200283659;3;26.7;80.1
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;2;21.65;43.3
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;2;28.5;57
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;3;31.6;94.8
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;3;31.6;94.8
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
014292;Michelob Ultra Pure Gold 2x 12 Pack (12 oz Cans);00018200259432;00018200285417;1;33.1;33.1
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;1;21.95;21.95
