sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;4;17.05;68.2
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;27.5;55
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;2;27.5;55
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;6;29;174
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;5;33.9;169.5
040400;Bud Light 4x 6 Pack (12 oz Bottles);00018200001697;00018200530364;1;30.95;30.95
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
018306;Budweiser 15 Pack (25 oz Cans);00018200250002;00018200112515;1;32.75;32.75
011300;Budweiser 18 Pack (12 oz Cans);00018200000164;00018200112188;3;17.05;51.15
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;2;27.5;55
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;22.3;22.3
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
034900;Busch Light 2x 12 Pack (12 oz Bottles);00018200001895;00018200863608;1;22.3;22.3
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;22.3;22.3
016709;Busch Light Peach 30 Pack (12 oz Cans);00018200263804;00018200291340;6;29;174
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;2;40.8;81.6
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.65;43.3
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;8;21.65;173.2
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;10;28.35;283.5
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;2;30.8;61.6
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;4;30.8;123.2
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;2;35.25;70.5
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.15;63.45
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
047807;Shock Top Belgian White 4x 6 Pack (12 oz Bottles);00018200008672;00018200963704;0;34.15;0
