sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;33.8;33.8
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;6;16.65;99.9
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;8;17.45;139.6
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;5;26.7;133.5
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;8;28.1;224.8
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;7;32.7;228.9
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;3;32.55;97.65
017064;Bud Light Chelada with Clamato 2x 12 Pack (12 oz Cans);00018200002304;00018200290619;1;31.6;31.6
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;1;32.7;32.7
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;42.9;42.9
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
020317;Jumex Hard Nectar Pineapple Coconut 22oz 12x 22 oz Can;00613008773182;00613008773199;1;30.49;30.49
020316;Jumex Hard Nectar Strawberry 22oz 12x 22 oz Can;00613008773151;00613008773168;1;30.49;30.49
020352;Jumex Hard Nectar Variety Pack 2x 12 Pack (12 oz Cans);00613008772505;00613008772505;4;30.49;121.96
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;41.85;41.85
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.65;43.3
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;12;28.5;342
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;2;31.6;63.2
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;5;31.6;158
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;2;31.1;62.2
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;2;34.75;69.5
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;-1;34.75;-27.1
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;33.1;33.1
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.95;43.9
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;4;22.95;91.8
