sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;5;16.65;83.25
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;5;26.7;133.5
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;2;28.1;56.2
026827;Budweiser 6x 4 Pack (16 oz Cans);00018200005374;00018200110443;1;32.55;32.55
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;42.9;42.9
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;2;23.3;46.6
020316;Jumex Hard Nectar Strawberry 22oz 12x 22 oz Can;00613008773151;00613008773168;1;30.49;30.49
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;3;28.5;85.5
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;2;31.6;63.2
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
