sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;8;16.65;133.2
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;4;17.45;69.8
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;3;26.7;80.1
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
029100;Bud Light 4x 6 Pack (7 oz Bottles);00018200001918;00018200532658;1;21.25;21.25
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;1;32.55;32.55
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
013922;Bud Light Platinum 4x 6 Pack (12 oz Bottles);00018200009075;00018200961182;1;31.1;31.1
011300;Budweiser 18 Pack (12 oz Cans);00018200000164;00018200112188;1;16.65;16.65
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;1;26.7;26.7
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;2;32.7;65.4
026827;Budweiser 6x 4 Pack (16 oz Cans);00018200005374;00018200110443;1;32.55;32.55
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;2;21.95;43.9
020033;Happy Dad Grape (Death Row) 2x 12 Pack (12 oz Cans);00850046522130;00850046522147;1;30.0;30.0
020035;Happy Dad Hard Seltzer Variety Pack 2x 12 Pack (12 oz Cans);00084173968176;00084173968176;1;30.0;30.0
020043;Happy Dad Hard Tea Variety Pack 2x 12 Pack (12 oz Cans);00100000000007;20850046522912;1;30.0;30.0
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.65;43.3
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;3;21.65;64.95
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;14;28.5;399
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;3;31.6;94.8
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;6;31.6;189.6
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;2;31.1;62.2
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;1;21.95;21.95
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
047420;Rolling Rock 4x 6 Pack (12 oz Bottles);00071439000336;00071439000466;1;25;25
