sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;4;16.65;66.6
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;2;17.45;34.9
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;2;26.7;53.4
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;0;32.7;0
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;1;32.55;32.55
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
048408;Bud Light Platinum 2x 12 Pack (12 oz Cans);00018200006098;00018200960277;1;31.6;31.6
018306;Budweiser 15 Pack (25 oz Cans);00018200250002;00018200112515;1;33.8;33.8
040100;Budweiser 4x 6 Pack (12 oz Bottles);00018200001680;00018200110368;1;30.1;30.1
015977;Budweiser Zero (Non-Alc) 2x 12 Pack (12 oz Cans);00018200258619;00018200283659;3;26.7;80.1
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
020033;Happy Dad Grape (Death Row) 2x 12 Pack (12 oz Cans);00850046522130;00850046522147;1;30.0;30.0
020317;Jumex Hard Nectar Pineapple Coconut 22oz 12x 22 oz Can;00613008773182;00613008773199;1;30.49;30.49
020352;Jumex Hard Nectar Variety Pack 2x 12 Pack (12 oz Cans);00613008772505;00613008772505;1;30.49;30.49
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;41.85;41.85
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;3;21.65;64.95
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;6;28.5;171
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;7;31.6;221.2
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;2;34.75;69.5
014292;Michelob Ultra Pure Gold 2x 12 Pack (12 oz Cans);00018200259432;00018200285417;2;33.1;66.2
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.95;43.9
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
