sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018305;Bud Ice 15 Pack (25 oz Cans);00018200250064;00018200372513;1;30.51;30.51
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;8;16.65;133.2
034000;Bud Light 2x 12 Pack (12 oz Bottles);00018200001697;00018200533600;2;26.7;53.4
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
048408;Bud Light Platinum 2x 12 Pack (12 oz Cans);00018200006098;00018200960277;1;30.8;30.8
018306;Budweiser 15 Pack (25 oz Cans);00018200250002;00018200112515;1;31.7;31.7
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;1;32.7;32.7
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;2;23.3;46.6
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;2;21.05;42.1
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;40.8;40.8
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;5;28.35;141.75
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;-1;28.35;-23.35
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;4;30.8;123.2
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;7;30.8;215.6
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;2;34.75;69.5
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;2;32.3;64.6
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;2;31.5;63
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.15;63.45
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
