sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;8;16.65;133.2
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;2;17.45;34.9
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;7;26.7;186.9
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;-7;26.7;-162.4
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;0;28.1;0
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;0;32.7;0
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;0;32.7;0
040400;Bud Light 4x 6 Pack (12 oz Bottles);00018200001697;00018200530364;1;30.1;30.1
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
020444;Bud Light OU 30 Pack (12 oz Cans);00018200001062;00018200530302;3;28.1;84.3
020444;Bud Light OU 30 Pack (12 oz Cans);00018200001062;00018200530302;-3;28.1;-64.5
020446;Bud Light OU 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;7;32.7;228.9
020446;Bud Light OU 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;-7;32.7;-165.9
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;1;32.7;32.7
015977;Budweiser Zero (Non-Alc) 2x 12 Pack (12 oz Cans);00018200258619;00018200283659;1;26.7;26.7
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
018043;Busch Ice 15 Pack (25 oz Cans);00018200250071;00018200662515;1;30.46;30.46
018043;Busch Ice 15 Pack (25 oz Cans);00018200250071;00018200662515;-1;30.46;-16.2
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;2;21.5;43
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;4;21.95;87.8
020033;Happy Dad Grape (Death Row) 2x 12 Pack (12 oz Cans);00850046522130;00850046522147;2;30.0;60.0
020316;Jumex Hard Nectar Strawberry 22oz 12x 22 oz Can;00613008773151;00613008773168;1;30.49;30.49
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;2;21.65;43.3
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;2;28.5;57
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;3;31.6;94.8
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;33.1;33.1
014292;Michelob Ultra Pure Gold 2x 12 Pack (12 oz Cans);00018200259432;00018200285417;2;33.1;66.2
047420;Rolling Rock 4x 6 Pack (12 oz Bottles);00071439000336;00071439000466;1;25;25
