sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;5;16.65;83.25
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;5;17.45;87.25
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;5;26.7;133.5
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;-1;26.7;-21.3
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;6;28.1;168.6
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;3;32.7;98.1
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;1;26.7;26.7
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;1;32.7;32.7
026827;Budweiser 6x 4 Pack (16 oz Cans);00018200005374;00018200110443;1;32.55;32.55
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
016600;Busch Light 30 Pack (12 oz Cans);00018200001888;00018200860317;2;21.05;42.1
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;4;21.65;86.6
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;5;21.65;108.25
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;6;28.35;170.1
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;1;30.8;30.8
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;4;30.8;123.2
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;2;32.3;64.6
018049;Natty Daddy 15 Pack (25 oz Cans);00018200250132;00018200960093;1;30.51;30.51
018307;Natural Light 15 Pack (25 oz Cans);00018200250026;00018200152511;1;30.51;30.51
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.15;63.45
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
047420;Rolling Rock 4x 6 Pack (12 oz Bottles);00071439000336;00071439000466;1;25;25
