sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;33.8;33.8
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;6;16.65;99.9
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;5;17.45;87.25
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;3;26.7;80.1
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;2;28.1;56.2
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;5;32.7;163.5
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
018304;Bud Light Chelada with Clamato 15 Pack (25 oz Cans);00018200255083;00018200958724;1;42.9;42.9
017064;Bud Light Chelada with Clamato 2x 12 Pack (12 oz Cans);00018200002304;00018200290619;1;31.6;31.6
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;1;42.25;42.25
048408;Bud Light Platinum 2x 12 Pack (12 oz Cans);00018200006098;00018200960277;2;31.6;63.2
013922;Bud Light Platinum 4x 6 Pack (12 oz Bottles);00018200009075;00018200961182;1;31.1;31.1
020700;Budweiser 3x 8 Pack (16 oz Cans);00018200000188;00018200966743;2;32.7;65.4
018302;Budweiser Chelada with Clamato 15 Pack (25 oz Cans);00018200255090;00018200958717;1;42.9;42.9
016400;Busch Beer 30 Pack (12 oz Cans);00018200000515;00018200610301;2;21.95;43.9
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
018668;Busch Light Apple 15 Pack (25 oz Cans);00018200262944;00018200290176;0;33.8;0
016210;Busch Light Apple 2x 12 Pack (12 oz Cans);00018200001598;00018200287541;0;26.7;0
016211;Busch Light Apple 30 Pack (12 oz Cans);00018200001598;00018200287534;0;28.1;0
020033;Happy Dad Grape (Death Row) 2x 12 Pack (12 oz Cans);00850046522130;00850046522147;1;30.0;30.0
020031;Happy Dad Hard Seltzer Fruit Punch 2x 12 Pack (12 oz Cans);00084173940035;00084173940059;1;30.0;30.0
020035;Happy Dad Hard Seltzer Variety Pack 2x 12 Pack (12 oz Cans);00084173968176;00084173968176;1;30.0;30.0
020043;Happy Dad Hard Tea Variety Pack 2x 12 Pack (12 oz Cans);00100000000007;20850046522912;1;30.0;30.0
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;41.85;41.85
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;1;21.65;21.65
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;5;21.65;108.25
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;12;28.5;342
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;1;31.6;31.6
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;5;31.6;158
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;33.1;33.1
018049;Natty Daddy 15 Pack (25 oz Cans);00018200250132;00018200960093;1;31.56;31.56
018307;Natural Light 15 Pack (25 oz Cans);00018200250026;00018200152511;1;31.56;31.56
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.95;43.9
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
