sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;32.75;32.75
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;1;33;33
029100;Bud Light 4x 6 Pack (7 oz Bottles);00018200001918;00018200532658;1;20.35;20.35
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;1;31.65;31.65
040100;Budweiser 4x 6 Pack (12 oz Bottles);00018200001680;00018200110368;1;30.95;30.95
026827;Budweiser 6x 4 Pack (16 oz Cans);00018200005374;00018200110443;1;31.65;31.65
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;2;21.25;42.5
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;2;30.0;60.0
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;2;30.0;60.0
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;2;34.45;68.9
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;33.65;33.65
015032;Michelob Ultra Lime 2x 12 Pack (12 oz Bottles);00018200007941;00018200200199;1;31.5;31.5
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;1;31.5;31.5
013676;Michelob Ultra Pure Gold 2x 12 Pack (12 oz Bottles);00018200259043;00018200284236;0;31.5;0
018049;Natty Daddy 15 Pack (25 oz Cans);00018200250132;00018200960093;1;30.51;30.51
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;20.35;40.7
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;3;21.15;63.45
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
