sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;31.7;31.7
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;8;16.65;133.2
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;5;17.45;87.25
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;3;26.7;80.1
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;4;28.1;112.4
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
029100;Bud Light 4x 6 Pack (7 oz Bottles);00018200001918;00018200532658;1;21.25;21.25
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
017064;Bud Light Chelada with Clamato 2x 12 Pack (12 oz Cans);00018200002304;00018200290619;2;30.8;61.6
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;2;42.25;84.5
011300;Budweiser 18 Pack (12 oz Cans);00018200000164;00018200112188;1;16.65;16.65
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;1;26.7;26.7
040100;Budweiser 4x 6 Pack (12 oz Bottles);00018200001680;00018200110368;1;30.1;30.1
016400;Busch Beer 30 Pack (12 oz Cans);00018200000515;00018200610301;1;21.05;21.05
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
034900;Busch Light 2x 12 Pack (12 oz Bottles);00018200001895;00018200863608;2;21.5;43
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;40.8;40.8
030504;Michelob Ultra 18 Pack (12 oz Bottles);00018200003325;00018200966248;1;21.65;21.65
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;6;21.65;129.9
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;8;28.35;226.8
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;2;30.8;61.6
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;2;35.25;70.5
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;1;34.75;34.75
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;2;21.15;42.3
017100;Natural Light 30 Pack (12 oz Cans);00018200000317;00018200150302;2;22.05;44.1
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;1;22.01;22.01
