sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
017056;Beatbox Blue Razzberry Malt 12x 500 ml Carton;00851133006762;00851133006779;1;31.44;31.44
017048;Beatbox Fruit Punch Malt 12x 500 ml Carton;00851133006786;00851133006793;1;31.44;31.44
018303;Bud Light 15 Pack (25 oz Cans);00018200250019;00018200532511;1;31.7;31.7
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;10;16.65;166.5
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;10;17.45;174.5
018000;Bud Light 2x 12 Pack (12 oz Cans);00018200001062;00018200532467;7;26.7;186.9
016000;Bud Light 30 Pack (12 oz Cans);00018200001062;00018200530302;8;28.1;224.8
048720;Bud Light 3x 8 Pack (16 oz Aluminum Bottles);00018200007958;00018200960215;1;32.2;32.2
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
025106;Bud Light 6x 4 Pack (16 oz Cans);00018200005381;00018200530449;2;32.55;65.1
017064;Bud Light Chelada with Clamato 2x 12 Pack (12 oz Cans);00018200002304;00018200290619;1;30.8;30.8
025155;Bud Light Chelada with Clamato 6x 4 Pack (16 oz Cans);00018200008665;00018200963711;2;42.25;84.5
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;1;26.7;26.7
015800;Budweiser 30 Pack (12 oz Cans);00018200000164;00018200110306;1;28.1;28.1
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
018900;Busch Light 2x 12 Pack (12 oz Cans);00018200001888;00018200862489;1;21.5;21.5
018048;Michelob Ultra 15 Pack (25 oz Cans);00018200250101;00018200960116;1;40.8;40.8
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;6;21.65;129.9
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;12;28.35;340.2
036200;Michelob Ultra 2x 12 Pack (12 oz Bottles);00018200003325;00018200967696;2;30.8;61.6
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;6;30.8;184.8
042800;Michelob Ultra 4x 6 Pack (12 oz Bottles);00018200003325;00018200967702;1;31.1;31.1
024600;Michelob Ultra 4x 6 Pack (16 oz Cans);00018200001581;00018200287381;2;34.75;69.5
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;2;31.5;63
013353;Natural Light 2x 15 Pack (12 oz Cans);00018200000317;00018200200779;3;21.15;63.45
024800;Natural Light 4x 6 Pack (16 oz Cans);00018200000430;00018200150432;2;22.01;44.02
